parcel1,parcel2,parcel_num,parcel_add
034A1 A017,,034A1 A017,206 DEERHILL DR
233B4 C019,,233B4 C019,207 EAST MEADOW DR
164C3 C002A,,164C3 C002A,207 HILLSIDE ST
164C3 C007,,164C3 C007,208 FIRST ST
184A3 B008,,184A3 B008,210 ANSLEY DR
,,,
172C5 A062,,,210 APPLEBY DR
172C5 A066,,,210 APPLEBY DR
122C2 G031,,,210 EVANS ST
173A4 J004,,,210 UNIVERSITY DR
173C1 F008,,,211 CARLTON TER
182B3 A005,,,211 COLLEGE CIR
122A1 G008,,,211 GLORIA ST
163D2 A001,,,211 NORTH AVE
163D7 K015,,,211 NORTH AVE
163D7 M015,,,211 NORTH AVE
074D3 B002,,,211 TAWNYBERRY DR
132D4 B008A,,,212 SLEEPY CREEK DR
122B3 G004,,,212 THE PLAZA
173C3 G001,,,213 PARKWAY DR
173A1 G003,,,213 W RUTHERFORD ST
132B2 G010A,,,2142 S LUMPKIN ST
173A3 E008,,,215 MILLEDGE CIR
173A3 I003,,,215 MORTON AVE
241C3 A015,,,215 RUMSON RD
132B2 B007,,,215 TERRELL DR
131A3 J013,,,216 TOWNSHIP LN
181D3 A009,,,2165 S MILLEDGE AVE
181D3 A017,,,2165 S MILLEDGE AVE
173C3 G002,,,219 PARKWAY DR
113A1 D013,,,220 CLIFTON DR
122C2 F022A,,,220 COLIMA AVE
171B2 D006B,,,220 DR MARTIN LUTHER KING JR
181A2 B023,,,220 HABERSHAM DR
122B3 I024B,,,220 HODGSON DR
113A5 A012,,,220 MAGNOLIA BLOSSOM WAY
114D2 D006,,,220 NANTAHALA AVE
122A3 E009,,,220 PRICE AVE
122D2 G007,,,220 S BILLUPS ST
163D4 K002,,,220 SECOND ST
132D4 B009A,,,220 SLEEPY CREEK DR
182A4 A006,,,220 UNIVERSITY CIR
124B2 G016,,,220 WOODLAWN AVE
233A1 C001,,,2200 LEXINGTON RD
122C1 C001,,,2220 W BROAD ST
114D1 I004,,,223 HIAWASSEE AVE
132D4 C001,,,223 SLEEPY CREEK DR
122D3 A002,,,224 FORTSON DR
122B1 D006,,,225 HILLCREST AVE
073    009K,,,225 JENNINGS MILL PKWY
124C4 C004,,,225 RIVERVIEW RD
171A1 Q015,,,229 N FINLEY ST
173A1 D002,,,229 W CLOVERHURST AVE
163C3 A020A,,,230 BARROW ST
241B5 A003,,,230 E PACES DR
164C3 C005,,,230 FIRST ST
181A2 B022,,,230 HABERSHAM DR
054C   072,,,230 LAKELAND DR
122A3 C004,,,230 MILLARD AVE
173C1 H006,,,230 MILLEDGE TER
243A6 B016,,,230 PEBBLE CREEK DR
121A4 F008,,,230 PINE FOREST DR
121A2 B011,,,230 TARA WAY
172C1 J025,,,231 BURNEY ST
041    003,,,2310 CLEVELAND RD
184D1 D009,,,232 CENTER PARK LN
164C3 C001,,,232 RIDGE AVE
252A1 A034,,,233 HIDDEN SPRING WAY
114D2 E004,,,235 BEULAH AVE
164A3 A010,,,235 BRAY ST
172A1 B019,,,235 N PETER ST
074A3 A005,,,235 RIDGEVIEW DR
174A2 A002B,,,236 GROVE ST
121B5 A010,,,236 HAMPTON PARK DR
172A4 B022,,,236 N PETER ST
122D4 E003,,,237 SPRINGDALE ST
124B2 F006,,,237 WOODLAWN AVE
122C2 G027,,,238 EVANS ST
114C4 C006B,,,238 YONAH AVE
163C1 A007A,,,240 AUGUSTA AVE
124A3 B007B,,,240 BEECH CREEK RD
114D2 D001A,,,240 BEULAH AVE
064B1 A017,,,240 CHADDS WALK
163C3 A003B,,,240 CRAWFORD AVE
164C3 C005B,,,240 FIRST ST
113B1 A016,,,240 HUNNICUTT DR
184D1 C025,,,241 CENTER PARK LN
124B1 B006,,,241 FORTSON DR
163D4 J001,,,241 PEARL ST
122B3 F041,,,242 GLENHAVEN AVE
163A3 B033,,,243 MACON AVE
122A3 H014,,,243 SUNSET DR
163C1 C011,,,245 ATLANTA AVE
123B2 F009,,,245 BISHOP DR
122A1 A018,,,245 GILMER ST
184B5 A017,,,245 GREENWOOD LN
174A2 A002,,,248 GROVE ST
071A3 B004,,,249 IMPERIAL WAY
121B2 B008,,,250 CLOVER ST
171D3 A101,,,250 LITTLE ST
171D3 A109,,,250 LITTLE ST
171D3 C202,,,250 LITTLE ST
171D3 C305,,,250 LITTLE ST
171D3 D309,,,250 LITTLE ST
122A3 E008,,,250 PRICE AVE
171A9 B007,,,250 W BROAD ST
171A9 C002,,,250 W BROAD ST
171A9 C004,,,250 W BROAD ST
171A9 C005,,,250 W BROAD ST
171A9 C006,,,250 W BROAD ST
171A9 D001,,,250 W BROAD ST
171A9 D002,,,250 W BROAD ST
171A9 D007,,,250 W BROAD ST
171A9 E002,,,250 W BROAD ST
171A9 E018,,,250 W BROAD ST
171A9 E021,,,250 W BROAD ST
171A9 E023,,,250 W BROAD ST
171A9 E024,,,250 W BROAD ST
171A9 E031,,,250 W BROAD ST
171A9 E032,,,250 W BROAD ST
171A9 F006,,,250 W BROAD ST
171A9 F008,,,250 W BROAD ST
171A9 F017,,,250 W BROAD ST
171A9 F025,,,250 W BROAD ST
171A9 G002,,,250 W BROAD ST
171A9 H003,,,250 W BROAD ST
171A9 H021,,,250 W BROAD ST
121D1 E019,,,2505 W BROAD ST
062C1  012,,,255 CAMELOT DR
181A3 B016,,,255 DAVIS ESTATES RD
122A3 G011,,,255 HOLMAN AVE
122B3 A008,,,255 INDALE AVE
124B4 C023,,,255 OAKLAND AVE
123B4 C004,,,255 PINE VALLEY DR
121A4 E007,,,255 STONELAND DR
071D2 A038,,,256 CHEROKEE RDG
122C4 B012,,,257 MAGNOLIA ST
124B1 B008,,,259 FORTSON DR
124B4 C004,,,260 CHEROKEE AVE
113C1 J002,,,260 KIRBY LN
184D1 C012,,,260 OCONEE RIVER CIR
163D4 D002A,,,260 ROSA NELL HOWARD ST
131A3 K021,,,260 TOWNSHIP LN
132B3 C014,,,262 RHODES DR
054B1 L001,,,265 FEDERAL ST
244C  I007,,,265 TAMARACK DR
071A3 B003,,,269 IMPERIAL WAY
171A5 B204,,,269 N HULL ST
122B3 F020,,,269 THE PLAZA
122B3 I021,,,270 HODGSON DR
163B7 A020,,,270 LAKE ST
122B4 D001,,,270 N CHASE ST
072C2 C003,,,270 PROVIDENCE RD
132B3 C012,,,270 RHODES DR
064B3 A010,,,270 WESTWOOD DR
121B5 C020,,,273 HAMPTON PARK DR
124B2 F018,,,274 OAKLAND AVE
122A1 A015,,,275 GILMER ST
173A4 C009,,,275 MORTON AVE
121A4 C015,,,275 PINE FOREST DR
121B5 C021,,,277 HAMPTON PARK DR
114D1 I006,,,277 HIAWASSEE AVE
171A1 O001,,,279 MEIGS ST
163B7 A019,,,280 LAKE ST
163A3 B009,,,281 ATHENS AVE
122C4 C003,,,282 MAGNOLIA ST
174    009,,,284 BAILEY ST
102A5 B001,,,285 FAIRLANE DR
122A3 G016,,,285 HOLMAN AVE
163C1 C001,,,285 SAVANNAH AVE
121A1 B012A,,,285 TIMBERLANE DR
171C1 E009,,,287 HENDERSON AVE
124B2 B015,,,288 STANTON WAY
241B2 A001,,,289 CEDAR CREEK DR
172C5 A014,,,290 APPLEBY DR
172C5 A022,,,290 APPLEBY DR
172C5 A030,,,290 APPLEBY DR
172C5 A036,,,290 APPLEBY DR
172C5 A040,,,290 APPLEBY DR
172C5 A045,,,290 APPLEBY DR
124B4 C008,,,290 MILLEDGE CIR
173C1 I011,,,290 MILLEDGE HTS
132C2 B013,,,290 TIMOTHY RD
182A4 A001,,,290 UNIVERSITY CIR
164C3 E004,,,292 FIRST ST
123C5 A013,,,293 SKYLINE PKWY
122A3 D015,,,295 BEST DR
123C4 B004,,,295 TANGLEWOOD DR
122A4 F003A,,,296 HODGSON DR
173C3 H005,,,296 PARKWAY DR
233B4 C001,,,2965 CHEROKEE RD
164C3 E007,,,298 FIRST ST
302    006U,,,300 JOE CAREY DR
171B6 A001,,,300 N THOMAS ST
121B5 D013,,,301 JOANNE CT
242    005C,,,301 PETTIT LN
131A3 L010,,,304 TOWNSHIP LN
181A3 A038,,,305 DAVIS ST
102A4  060,,,305 FAIRLANE DR
182D2 F009,,,305 TALL PINE LN
173A1 D009,,,306 W RUTHERFORD ST
121B2 C021,,,310 CLOVER ST
112A2 A001,,,310 NASSAU LN
121A4 E005,,,310 PINE FOREST DR
122A3 A011D,,,310 PRICE AVE
173C2 F019,,,310 SOUTHVIEW DR
182A1 A017,,,310 SPALDING CIR
114D4 C002,,,315 DUBOSE AVE
132B1 F004,,,315 DUNCAN SPRINGS RD
132A  C003,,,315 RIVERVIEW RD
171C1 A002D,,,315 S POPE ST
171C1 A002L,,,315 S POPE ST
073A3  011,,,320 LOGMONT TRCE
124D1 A028A,,,320 WEST LAKE DR
171C4 B004,,,323 S CHURCH ST
121C1 E005,,,325 RIVERMONT RD
171C4 B006,,,327 S CHURCH ST
174B6 A008,,,329 EDGEWATER DR
214A1 C017,,,329 OLD PITTARD RD
121B5 E016,,,330 HAMPTON PARK DR
163A3 B041,,,330 MACON AVE
184A2 B010,,,330 SNAPFINGER DR
121B5 F011,,,335 HAMPTON PARK DR
121B2 H027,,,335 LUCILLE ST
124B4 B021,,,335 OAKLAND AVE
173C2 C011,,,335 SOUTHVIEW DR
172C3 A003,,,336 CARR ST
243A9 B027,,,337 ASHBROOK LN
114D3 G013,,,338 SATULA AVE
174B   009,,,340 BARNETT SHOALS RD
242C3 B029,,,340 CARRINGTON DR
124A2 B003,,,340 FORTSON DR
182B3 A012,,,341 COLLEGE CIR
241A4 A016,,,345 BROOKWOOD DR
182A1 B013,,,345 CALDWELL CIR
074C  G005,,,345 KINGS RD
121C2 D002,,,345 PINE FOREST DR
103    003,,,347 JEFFERSON RIVER RD
122C2 B001,,,35 HOLMAN AVE
122A2 A003,,,350 WILLOW RUN
174B6 B005,,,353 EDGEWATER DR
243A3 A003,,,3535 OLD LEXINGTON RD
054C   085D,,,355 HOBBS RD
074C  G006,,,355 KINGS RD
122A2 E002A,,,355 PINE NEEDLE RD
241C1 B015,,,360 FOREST RD
132A  A002,,,360 GLENWOOD DR
132B2 E003,,,360 OLD PRINCETON RD
062D1 B002,,,360 ROUND TABLE RD
241C3 E011,,,360 RUMSON RD
182C2 B006,,,360 UNIVERSITY CIR
174B6 J007,,,364 EDGEWATER DR
173C3 B010,,,364 PARKWAY DR
163C3 A003I,,,366 BARBER ST
163C3 A003J,,,368 BARBER ST
121B2 C015,,,370 CLOVER ST
163B1 B015,,,370 CONRAD DR
124C4 B016,,,370 GLENWOOD DR
172A2 C003A,,,370 MORELAND AVE
124D1 A020,,,370 WEST LAKE DR
173A4 K005,,,373 HAMPTON CT
132B1 G007,,,375 DUNCAN SPRINGS RD
243    008,,,3775 OLD LEXINGTON RD
132B2 E015A,,,380 OLD PRINCETON RD
124D3 B003,,,383 WESTVIEW DR
114D1 A013,,,384 NACOOCHEE AVE
122A1 I020,,,385 BEST DR
174B6 B013,,,385 EDGEWATER DR
233C6 A012,,,385 FLEMING WAY
164C3 G001,,,385 REAR FIRST ST
251    031A,,,3890 BARNETT SHOALS RD
071D2 A021,,,390 CHEROKEE RDG
173C3 B007A,,,390 PARKWAY DR
171C1 B013,,,390 S POPE ST
074A6 A034,,,390 WILDE OAK PL
044C5 C002,,,391 MORNING DR
303D2 A009,,,395 MILLSTONE CIR
163A3 B020,,,397 ATHENS AVE
172C2 B017,,,398 ARCH ST
114D1 F006,,,398 HIAWASSEE AVE
124B4 D001,,,398 MILLEDGE CIR
114C2 F012A,,,399 BUENA VISTA AVE
121    005,,,4 BEECH HAVEN DR
173C3 C011,,,403 PARKWAY DR
123C2 A027A,,,405 PINEWOOD CIR
122D3 F007,,,410 BENNING ST
122B2 F003,,,410 FRANKLIN ST
073A3  014,,,410 LOGMONT TRCE
122A3 B010,,,410 MILLARD AVE
244    003H,,,4130 OLD LEXINGTON RD
182C2 D015,,,415 UNIVERSITY CIR
244A4 A015,,,420 MIDLANDS PL
122D2 A004,,,420 S MILLEDGE AVE
124B2 H013,,,420 W RUTHERFORD ST
114D4 A007,,,421 BOULEVARD
171C3 E011A,,,424 BLOOMFIELD ST
162B   048,,,424 HULL RD
121B1 E011,,,425 FOREST HEIGHTS DR
114C3 A008,,,425 OGLETHORPE AVE
163B1 B012,,,425 RUTH ST
171C1 B007,,,425 S CHURCH ST
122B4 B003,,,426 N BILLUPS ST
072C1 A003,,,426 PROVIDENCE RD
124B4 E011,,,430 MILLEDGE CIR
171A1 J009,,,434 MEIGS ST
122A1 H005,,,435 HOLMAN AVE
244    007A,,,4350 OLD LEXINGTON RD
162B   047A,,,445 HULL RD
132B2 F003,,,445 OLD PRINCETON RD
173C2 B008,,,445 SOUTHVIEW DR
124D3 C005,,,445 WESTVIEW DR
171C3 E004A,,,45 MELL ST
162B   034,,,450 CALHOUN DR
122A4 E027,,,450 KING AVE
181A1 B005,,,452 MILLEDGE HTS
172A2 C004,,,454 N PETER ST
064B5 A017,,,455 EDGEWOOD DR
171A3 K007,,,458 DEARING ST
124B4 B003,,,458 HIGHLAND AVE
162B   035,,,460 CALHOUN DR
122B4 B001,,,460 N BILLUPS ST
111C3 C003,,,460 WHITEHEAD RD
163B4 A018,,,464 RUTH ST
122A4 E002,,,465 BELVOIR HTS
162B   046,,,465 HULL RD
173C3 G009,,,475 GREENWOOD DR
171A1 M004,,,475 MEIGS ST
112    017F,,,475 NEWTON BRIDGE RD
171B3 A001,,,480 E BROAD ST
124B3 A006,,,480 HIGHLAND AVE
172A2 C003,,,480 N PETER ST
171B1 C005A,,,480 N THOMAS ST
122D2 A002,,,480 S MILLEDGE AVE
072A   002,,,489 VAUGHN RD
163B4 A014,,,490 RUTH ST
303    010B,,,4900 OLD LEXINGTON RD
163B2 A010,,,491 RUTH ST
171C2 D003,,,494 BAXTER ST
122A4 F002,,,495 KING AVE
062B1 A009A,,,496 QUAILWOOD DR
163C1 A001,,,498 ATHENS AVE
254    010E,,,500 BELMONT RD
182C2 E002,,,500 CALDWELL CIR
122B4 J003F,,,500 DEARING ST
262A1 A007,,,5000 BARNETT SHOALS RD
124B4 B029,,,501 WOODLAWN AVE
262    030C,,,5065 BARNETT SHOALS RD
164C3 F002,,,507 THIRD ST
124B3 E014,,,510 MILLEDGE CIR
123B4 A019,,,510 RIVERHILL DR
071A4 D025,,,512 CHESTERFIELD RD
171A4 B014,,,512 W BROAD ST
181A2 B013,,,517 WOODLAND HILLS DR
181A2 A009,,,518 WOODLAND HILLS DR
181A1 B001,,,520 MILLEDGE HTS
121C1 E018,,,523 RIVERMONT RD
122A1 F009,,,525 HOLMAN AVE
124B3 D008,,,525 MCWHORTER DR
163D2 G025,,,527 ROSA NELL HOWARD ST
182C2 E006,,,527 UNIVERSITY CIR
163A3 B046,,,529 ATHENS AVE
122A1 I005,,,530 HOLMAN AVE
122A4 E025,,,530 KING AVE
112    014A,,,532 KATHWOOD DR
171A1 K010,,,534 MEIGS ST
171A2 A003,,,534 PULASKI ST
173A4 M006,,,535 HAMPTON CT
122A4 G011,,,535 KING AVE
171A1 G004,,,535 PRINCE AVE
163C4 C013,,,539 PULASKI ST
122C2 A002,,,54 HOLMAN AVE
163C1 G001,,,540 ATHENS AVE
122A1 I004,,,540 HOLMAN AVE
124B3 C004,,,540 MCWHORTER DR
072C4 C005,,,540 RIVERBOTTOM RD
242B3 A007,,,540 SANDSTONE DR
164C4 C010,,,542 N PETER ST
114D1 A009,,,545 NANTAHALA AVE
114C3 B003,,,545 OGLETHORPE AVE
163C4 C014,,,545 PULASKI ST
124B4 C015,,,546 CASTALIA AVE
074D  D001,,,546 EPPS BRIDGE PKWY
163D4 A004,,,546 ROSA NELL HOWARD ST
114C2 A005,,,55 JEFFERSON CIR
122B5 A014,,,550 DEARING ST
304    001C,,,5500 OLD LEXINGTON RD
122B1 A035,,,552 COBB ST
122B2 D005A,,,555 CHASE ST
124C4 C009,,,555 GLENWOOD DR
122A4 E011,,,555 TALMADGE DR
173A4 F006,,,555 UNIVERSITY DR
182C2 F005,,,560 CALDWELL CIR
242A2 D005,,,560 CEDAR CREEK DR
163C4 C017,,,561 PULASKI ST
171A1 L005,,,569 MEIGS ST
163C4 C018,,,569 PULASKI ST
122B2 G003,,,574 N MILLEDGE AVE
181A2 A019,,,578 WOODLAND HILLS DR
082A  E019,,,580 KINGS RD
163D4 A001,,,590 ROSA NELL HOWARD ST
173C2 F001,,,590 SOUTHVIEW DR
124D4 B004,,,591 MILLEDGE TER
122B2 I002,,,595 HILL ST
111C1 C011,,,60 CAROLE LN
121A3 C001,,,601 FOREST HEIGHTS DR
054    009,,,6050 OLD JEFFERSON RD
182A3 A001,,,615 RIVERBEND PKWY
123B4 D011,,,615 RIVERHILL DR
122A1 C009,,,615 SUNSET DR
124D3 B013,,,620 RIVERVIEW RD
124A4 B009,,,620 WEST LAKE DR
173C2 E032,,,623 PINECREST DR
114D1 F013,,,624 NANTAHALA AVE
054    002D,,,6295 JEFFERSON RD
122A2 E008,,,630 BELVOIR HTS
072D2 A008,,,635 RIVERMONT RD
122B1 A033,,,640 COBB ST
041    019D,,,640 FOWLER MILL RD
172B3 B009,,,640 VINE ST
122D2 E005,,,648 DEARING ST
114D2 A003,,,650 BOULEVARD
072C4 A006,,,650 RIVERBOTTOM RD
173C4 B046,,,655 EAST CAMPUS RD
303    001F,,,655 MORTON RD
082A  D003,,,660 KINGS RD
172B3 B004,,,660 VINE ST
114B   002,,,665 BARBER ST
163C1 D002,,,672 BARBER ST
173C2 E023,,,697 PINECREST DR
071    004,,,698 CLEVELAND RD
163C3 E004,,,698 N POPE ST
114D1 F009,,,698 NANTAHALA AVE
121    003C,,,7 BEECH HAVEN DR
124D4 C008B,,,700 RIVERVIEW RD
122B1 F001,,,725 COBB ST
121C2 A014,,,725 PINE FOREST DR
064    018,,,726 WHITEHEAD RD
124C4 C001,,,733 GLENWOOD DR
114D4 B012,,,750 N CHASE ST
182A3 A017,,,785 RIVERBEND PKWY
072A9 A001,,,803 MITCHELL BRIDGE RD
044C5 G010,,,805 FITZROY DR
122B1 B020,,,824 HILL ST
182A3 A022,,,835 RIVERBEND PKWY
074C3 A007,,,835 ST IVES LN
163D3 B010,,,836 COLLEGE AVE
124B1 A025,,,840 BOBBIN MILL RD
163D3 B011,,,840 COLLEGE AVE
163D3 B012,,,844 COLLEGE AVE
182A3 A023,,,845 RIVERBEND PKWY
163D3 B015,,,856 COLLEGE AVE
163D3 B016,,,860 COLLEGE AVE
182A3 A025,,,865 RIVERBEND PKWY
163D3 B021,,,880 COLLEGE AVE
121    003A,,,9 BEECH HAVEN DR
181C4 B066A,,,90 VENITA DR
122D3 F001,,,901 HENDERSON EXT
121A1 B012B,,,980 FOREST HEIGHTS DR
321    004N,,,990 BELMONT RD
